Name,Sport,Year,Class_Year,Position,Hometown,High_School,Height,Weight,Source_URL
Adam Jacobs,Baseball,2005,Fr.,C,"Del Mar, Calif.",Torrey Pines HS,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Adam Loeding,Baseball,2005,So.,RHP,"Waldwick, N.J.",Waldwich HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Andrew McEachin,Baseball,2005,Jr.,P,"Huntington Beach, Calif.",Edison HS,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Blake Hamilton,Baseball,2005,So.,LHP,"San Antonio, Texas",St. Mary's Hall,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Brad Hill,Baseball,2005,So.,RHP,"Tucson, Ariz.",Catalina Foothills HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Brian Kaufman,Baseball,2005,Fr.,OF,"Austin, Texas",St. Stephan's Episcopal,5-11,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Bryce Klinesteker,Baseball,2005,Fr.,P,"Los Molinos, Calif.",Red Bluff HS,6-5,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Conor Kelly,Baseball,2005,Sr.,P,"San Fransisco, Calif.",Sacred Heart Cathedral HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Daniel  Gala,Baseball,2005,Sr.,P,"Moranga, Calif.",Champolindo HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Garret Wasson,Baseball,2005,Jr.,C,"Montgomery, N.Y.",Valley Central HS,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Jim Hyland,Baseball,2005,So.,IF,"Pittsburgh, Pa",Central Catholic HS,6-3,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Jimmy Heinz,Baseball,2005,Fr.,IF,"Winnetka, Ill.",New Trier HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Josh Foster,Baseball,2005,Jr.,OF,"Lake Oswego, Ore.",Lake Oswego HS,5-9,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Kaleb Hutchinson,Baseball,2005,So.,OF,"Vancouver, Wash.",Skyview HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Kevin Conlin,Baseball,2005,So.,P,"Glendale, N.Y.",Monsignor McClancy,6-3,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Matt Goodson,Baseball,2005,Jr.,C,"Scotts Valley, Calif.",Bellarmine College Prep,5-11,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Matt Miller,Baseball,2005,Sr.,IF,"Gaithersburg, Md.",Good Counsel HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Matthew Light,Baseball,2005,Sr.,P,"Tiburon, Calif.",Branson Hs,6-3,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Michael  Hudson,Baseball,2005,Jr.,P,"Bloomfield Hills, Mich.",Detroit CDS,5-10,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Michael Weiss,Baseball,2005,Jr.,IF,"Geenwich, Conn.",Greenwich HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Rocky  Collins,Baseball,2005,Jr.,P,"Santa Monica, Calif.",Santa Monica HS,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Ry Kagan,Baseball,2005,Fr.,OF,"Portland, Ore.",Cleveland HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Seth  Gordon,Baseball,2005,Jr.,IF,"Albany, N.Y.",Albany Academy,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Stephan Hall,Baseball,2005,Jr.,C,"Peachtree City, Ga.",McIntosh HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Tad Bardenwerper,Baseball,2005,Sr.,P,"Bethesda, Md.",St. Alban's School,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Tony Bandanza,Baseball,2005,Fr.,IF,"Hudson, N.H.",St. Mark's HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Walker Toma,Baseball,2005,Fr.,P,"Berkeley, Calif.",Berkeley HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2005
William Pauly,Baseball,2005,Jr.,C,"Atlantic Beach, Fla.",Episcopal HS,5-10,N/A,https://cornellbigred.com/sports/baseball/roster/2005
Adam Jacobs,Baseball,2006,So.,C,"Del Mar, Calif.",Torrey Pines HS,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Adam Loeding,Baseball,2006,Jr.,RHP,"Waldwick, N.J.",Waldwich HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Andrew McEachin,Baseball,2006,Sr.,P,"Huntington Beach, Calif.",Edison HS,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Antonio Cardona,Baseball,2006,So.,P,"Brooklyn, N.Y.",Berkeley Carroll HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Blake Hamilton,Baseball,2006,Jr.,LHP,"San Antonio, Texas",St. Mary's Hall,6-2,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Brant McKown,Baseball,2006,Fr.,C,"Tampa, Fla.",Tampa Jesuit,5-10,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Brian Kaufman,Baseball,2006,So.,OF,"Austin, Texas",St. Stephan's Episcopal,5-11,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Bryce Klinesteker,Baseball,2006,So.,P,"Los Molinos, Calif.",Red Bluff HS,6-5,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Casey Brett,Baseball,2006,Fr.,IF,"Spokane, Wash.",Joel E. Ferris HS,6-1,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Chris Carls,Baseball,2006,Fr.,P,"Windsor, Colo.",Resurrection Christian,5-10,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Domenic Di Ricco,Baseball,2006,Fr.,OF/P,"Portola Valley, Calif.",Menlo-Atherton HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Jim Hyland,Baseball,2006,Jr.,IF,"Pittsburgh, Pa",Central Catholic HS,6-3,N/A,https://cornellbigred.com/sports/baseball/roster/2006
Jimmy Heinz,Baseball,2006,So.,IF,"Winnetka, Ill.",New Trier HS,6-0,N/A,https://cornellbigred.com/sports/baseball/roster/2006
